mindists:20 ,param2:35 ,minRadius:70 ,Mean Jaccard: 0.58923771673
mindists:30 ,param2:25 ,minRadius:70 ,Mean Jaccard: 0.568067051802
mindists:20 ,param2:30 ,minRadius:70 ,Mean Jaccard: 0.608636919141
mindists:20 ,param2:35 ,minRadius:80 ,Mean Jaccard: 0.522443403191
mindists:20 ,param2:35 ,minRadius:90 ,Mean Jaccard: 0.44765451931
mindists:30 ,param2:20 ,minRadius:70 ,Mean Jaccard: 0.567288013791
mindists:30 ,param2:25 ,minRadius:40 ,Mean Jaccard: 0.513150782858
mindists:20 ,param2:25 ,minRadius:70 ,Mean Jaccard: 0.608574967757
mindists:20 ,param2:30 ,minRadius:80 ,Mean Jaccard: 0.538138048785
mindists:20 ,param2:35 ,minRadius:40 ,Mean Jaccard: 0.486508922623
mindists:30 ,param2:25 ,minRadius:80 ,Mean Jaccard: 0.471390307634
mindists:30 ,param2:20 ,minRadius:40 ,Mean Jaccard: 0.513150782858
mindists:30 ,param2:15 ,minRadius:70 ,Mean Jaccard: 0.567288013791
mindists:20 ,param2:30 ,minRadius:90 ,Mean Jaccard: 0.51251928333
mindists:20 ,param2:30 ,minRadius:40 ,Mean Jaccard: 0.486600681225
mindists:30 ,param2:25 ,minRadius:90 ,Mean Jaccard: 0.441856350724
mindists:30 ,param2:15 ,minRadius:40 ,Mean Jaccard: 0.513150782858
mindists:30 ,param2:10 ,minRadius:70 ,Mean Jaccard: 0.567288013791
mindists:30 ,param2:30 ,minRadius:40 ,Mean Jaccard: 0.513150782858
mindists:20 ,param2:20 ,minRadius:70 ,Mean Jaccard: 0.608511277688
mindists:30 ,param2:20 ,minRadius:80 ,Mean Jaccard: 0.465238435295
mindists:30 ,param2:10 ,minRadius:40 ,Mean Jaccard: 0.513150782858
mindists:30 ,param2:30 ,minRadius:70 ,Mean Jaccard: 0.574925503997
mindists:20 ,param2:25 ,minRadius:80 ,Mean Jaccard: 0.520264408592
mindists:20 ,param2:25 ,minRadius:40 ,Mean Jaccard: 0.486600681225
mindists:30 ,param2:25 ,minRadius:50 ,Mean Jaccard: 0.597539134971
mindists:20 ,param2:35 ,minRadius:50 ,Mean Jaccard: 0.582386415907
mindists:30 ,param2:35 ,minRadius:40 ,Mean Jaccard: 0.513128281338
mindists:30 ,param2:30 ,minRadius:80 ,Mean Jaccard: 0.499519272798
mindists:20 ,param2:25 ,minRadius:90 ,Mean Jaccard: 0.462838258654
mindists:30 ,param2:20 ,minRadius:90 ,Mean Jaccard: 0.403038211815
mindists:30 ,param2:30 ,minRadius:90 ,Mean Jaccard: 0.503781762274
mindists:20 ,param2:20 ,minRadius:40 ,Mean Jaccard: 0.486600681225
mindists:30 ,param2:30 ,minRadius:50 ,Mean Jaccard: 0.597458433432
mindists:20 ,param2:15 ,minRadius:70 ,Mean Jaccard: 0.608511277688
